 INFO  Accepting connections at http://localhost:3000
 HTTP  3/18/2026 8:00:58 PM ::1 GET /
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 66 ms
 HTTP  3/18/2026 8:00:58 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 8:00:58 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 8:00:58 PM ::1 GET /plus_detergent.png
 HTTP  3/18/2026 8:00:58 PM ::1 GET /script.js
 HTTP  3/18/2026 8:00:58 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 12 ms
 HTTP  3/18/2026 8:00:58 PM ::1 GET /plus_kit.png
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 4 ms
 HTTP  3/18/2026 8:00:58 PM ::1 GET /plus_spray.png
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 2315 ms
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 2317 ms
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 3232 ms
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 4035 ms
 HTTP  3/18/2026 8:00:58 PM ::1 Returned 200 in 7124 ms
 HTTP  3/18/2026 8:01:05 PM ::1 GET /favicon.ico
 HTTP  3/18/2026 8:01:05 PM ::1 Returned 404 in 2 ms
 HTTP  3/18/2026 8:01:39 PM ::1 GET /
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 200 in 1 ms
 HTTP  3/18/2026 8:01:39 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 4 ms
 HTTP  3/18/2026 8:01:39 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 8:01:39 PM ::1 GET /plus_detergent.png
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 8:01:39 PM ::1 GET /plus_spray.png
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 3 ms
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 8:01:39 PM ::1 GET /plus_kit.png
 HTTP  3/18/2026 8:01:39 PM ::1 GET /script.js
 HTTP  3/18/2026 8:01:39 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 8:01:39 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 9:26:47 PM ::1 GET /
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 22 ms
 HTTP  3/18/2026 9:26:47 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/18/2026 9:26:47 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 9:26:47 PM ::1 GET /script.js
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 0 ms
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/18/2026 9:26:47 PM ::1 GET /havlu.png
 HTTP  3/18/2026 9:26:47 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 404 in 2 ms
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 404 in 2 ms
 HTTP  3/18/2026 9:26:47 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 9:26:47 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/18/2026 9:26:47 PM ::1 Returned 200 in 2 ms
 HTTP  3/18/2026 9:26:48 PM ::1 GET /apple-touch-icon-precomposed.png
 HTTP  3/18/2026 9:26:48 PM ::1 Returned 404 in 1 ms
 HTTP  3/18/2026 9:26:48 PM ::1 GET /favicon.ico
 HTTP  3/18/2026 9:26:48 PM ::1 Returned 404 in 0 ms
 HTTP  3/18/2026 9:26:48 PM ::1 GET /apple-touch-icon.png
 HTTP  3/18/2026 9:26:48 PM ::1 Returned 404 in 3 ms
 HTTP  3/18/2026 9:26:48 PM ::1 GET /favicon.ico
 HTTP  3/18/2026 9:26:48 PM ::1 Returned 404 in 1 ms
 HTTP  3/18/2026 9:28:23 PM ::1 GET /
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 200 in 3 ms
 HTTP  3/18/2026 9:28:23 PM ::1 GET /havlu.png
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 404 in 1 ms
 HTTP  3/18/2026 9:28:23 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 9:28:23 PM ::1 GET /script.js
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 9:28:23 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 9:28:23 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 9:28:23 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 9:28:23 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 404 in 2 ms
 HTTP  3/18/2026 9:28:23 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:25 PM ::1 GET /
 HTTP  3/18/2026 9:28:25 PM ::1 Returned 200 in 1 ms
